S(c1c2c(nc(nc2N)N)ccc1)c1ccc(cc1)C	-7.0
Fc1c(CNC2Cc3c(C2)cccc3)c(F)cc(c1)c1cc(ccc1)c1[nH]ncn1	-8.3
N(CCC[C@]12CC[C@H](c3c1cccc3)c1c2cccc1)C	-6.4
O=c1n(C(CC)CC)c2nc(cnc2[nH]1)C#C	-5.7
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)COC(=O)CCC(=O)O	-6.7
Clc1c(C(=O)NCC[N+]2(CCCC2)CC2=C(N3[C@H](SC2)[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)/c2nc(sc2)N)C3=O)C(=O)[O-])ccc(O)c1O	-7.3
O1[C@]23[C@H]4[C@@]5([C@H]([C@@H]2[C@@]([C@@H](O)C=C3)(C1=O)C)C(=O)O)C[C@@](O)(CC4)C(=C)C5	-6.9
[P@](=O)(OC(C)C)(OC[C@H](N)C(=O)O)O	-5.0
Clc1ccc([C@@]23C[C@]4(C[C@@H](C2)C[C@@H](C3)C4)C(=O)NCc2ccncc2)cc1	-7.4
O[C@@H]1C[C@@H]([C@@]([C@@H]2[C@H]([C@H]3[C@](CC2)(C(=C)CC3)C)CN)(CC1)C)CO	-6.3
O(C[C@@H](O)CNC(Cc1ccc(Oc2ncc(cc2)C(=O)N)cc1)(C)C)c1c2c3c([nH]c2ccc1)cccc3	-8.0
O[C@H](/C=C(\O)/[O-])C(=O)[O-]	-4.4
O=C(N1CCCC1)CN1CCN(CC1)C(=O)/C=C/c1cc(OC)c(OC)c(OC)c1	-6.3
Brc1cc(Nc2ncnc3c2cc(NC(=O)/C=C/CN(C)C)cc3)ccc1	-7.0
O1[C@@H](n2c3nc(nc(OC)c3nc2)N)[C@@H](O)[C@H](O)[C@H]1CO	-7.0
s1c2c(CCCC2)c2c1nc[nH]c2=O	-5.6
O(CC1CCCCC1)c1nc(nc2nc([nH]c12)C(C)C)N	-7.2
S1[C@H]2N(C(=O)[C@H]2NC(=O)/C(=N\OC)/c2nc(sc2)N)C(=C(C1)C)C(=O)O	-7.3
Clc1c(Oc2ncc(cc2Cl)C(F)(F)F)cc(NC(=O)NC(=O)c2c(F)cccc2F)cc1	-8.6
ClCCN(CCCl)c1c(=O)[nH]c(=O)[nH]c1	-4.6
